ip,cpu_usage,memory_usage,network_traffic,execution_time,latency
10.0.100.169,45.86,58.8,574.0,3.0,7.65
10.0.100.170,36.59,29.05,190.0,42.0,26.37
10.0.100.171,95.63,22.97,863.0,44.0,222.94
10.0.100.172,33.78,20.95,14.0,46.0,1.73
10.0.100.173,22.36,11.8,301.0,52.0,26.76
10.0.100.174,69.34,10.97,402.0,56.0,90.73
10.0.100.175,94.79,15.78,506.0,67.0,186.44
10.0.100.176,89.24,5.24,72.0,69.0,23.63
10.0.100.177,42.27,87.56,451.0,64.0,186.98
10.0.100.178,53.78,89.41,381.0,97.0,265.63
10.0.100.179,15.99,68.79,33.0,14.0,1.9
10.0.100.180,54.43,71.06,205.0,16.0,20.06
10.0.100.181,19.9,82.1,953.0,11.0,51.91
10.0.100.182,25.07,78.87,642.0,81.0,268.76
10.0.100.183,25.79,89.78,657.0,68.0,258.85
10.0.100.184,60.89,41.42,205.0,75.0,79.07
10.0.100.185,70.84,86.78,308.0,54.0,130.46
10.0.100.186,36.41,11.23,30.0,31.0,2.19
10.0.100.187,74.63,43.51,235.0,20.0,28.05
10.0.100.188,68.62,56.68,654.0,52.0,211.13
10.0.100.189,13.55,83.72,594.0,17.0,47.76
10.0.100.190,81.77,89.97,697.0,96.0,571.76
10.0.100.191,16.0,78.15,645.0,25.0,74.42
10.0.100.192,41.01,51.49,835.0,5.0,17.68
10.0.100.193,44.34,9.68,444.0,82.0,98.39
10.0.100.194,24.04,32.92,568.0,26.0,42.54
10.0.100.195,35.53,53.25,443.0,78.0,153.37
10.0.100.196,90.0,49.39,471.0,14.0,47.03
10.0.100.197,82.7,91.36,741.0,85.0,549.18
10.0.100.198,14.8,88.79,327.0,60.0,101.77
10.0.100.199,98.97,76.1,421.0,74.0,273.01
10.0.100.200,74.86,9.11,581.0,74.0,179.59
10.0.100.201,71.19,62.91,776.0,67.0,350.11
10.0.100.202,82.9,69.36,330.0,77.0,192.23
10.0.100.203,59.68,6.07,824.0,9.0,23.89
10.0.100.204,47.31,35.64,213.0,98.0,87.06
10.0.100.205,66.24,11.23,427.0,50.0,82.73
10.0.100.206,47.26,10.02,67.0,37.0,7.08
10.0.100.207,8.4,75.55,452.0,92.0,175.09
10.0.100.208,45.26,96.85,273.0,21.0,41.07
10.0.100.209,59.34,61.72,884.0,8.0,43.42
10.0.100.210,8.88,28.08,737.0,20.0,27.23
10.0.100.211,17.75,50.4,439.0,94.0,141.27
10.0.100.212,27.67,94.1,570.0,93.0,322.81
10.0.100.213,24.82,55.15,857.0,97.0,332.88
10.0.100.214,56.27,25.13,450.0,38.0,69.53
10.0.100.215,24.61,59.29,35.0,65.0,9.55
10.0.100.216,55.7,31.06,451.0,44.0,86.19
10.0.100.217,13.13,65.1,856.0,24.0,81.33
10.0.100.218,8.05,6.45,397.0,75.0,21.72
10.0.100.219,86.99,88.73,477.0,13.0,53.43
10.0.100.220,84.83,26.81,173.0,84.0,81.37
10.0.100.221,95.62,83.11,450.0,43.0,174.39
10.0.100.222,50.09,64.25,928.0,33.0,175.34
10.0.100.223,12.42,88.15,481.0,69.0,167.14
10.0.100.224,72.55,5.6,742.0,25.0,73.24
10.0.100.225,53.78,91.77,777.0,63.0,354.07
10.0.100.226,93.46,47.31,96.0,53.0,35.68
10.0.100.227,34.86,86.04,624.0,33.0,125.49
10.0.100.228,86.36,43.39,767.0,93.0,463.21
10.0.100.229,13.69,13.13,785.0,87.0,91.08
10.0.100.230,55.88,25.05,18.0,80.0,5.91
10.0.100.231,22.44,15.71,825.0,6.0,9.11
10.0.100.232,87.37,79.4,751.0,81.0,506.48
10.0.100.233,11.25,50.1,189.0,25.0,14.23
10.0.100.234,58.92,42.34,27.0,57.0,7.65
10.0.100.235,56.64,32.98,150.0,87.0,58.4
10.0.100.236,78.58,65.19,913.0,25.0,161.92
10.0.100.237,80.67,54.65,940.0,21.0,134.55
10.0.100.238,29.56,82.25,447.0,22.0,55.92
10.0.100.239,76.78,99.63,151.0,7.0,8.91
10.0.100.240,52.96,67.44,450.0,83.0,224.39
10.0.100.241,33.5,55.29,858.0,83.0,316.6
10.0.100.242,59.66,8.89,487.0,10.0,16.77
10.0.100.243,64.61,28.89,578.0,39.0,105.53
10.0.100.244,13.41,62.14,613.0,45.0,104.66
10.0.100.245,18.57,17.51,515.0,54.0,50.5
10.0.100.246,27.1,53.8,315.0,10.0,13.03
10.0.100.247,75.57,82.05,389.0,37.0,113.38
10.0.100.248,74.17,45.59,995.0,11.0,64.45
10.0.100.249,7.01,10.64,159.0,9.0,1.31
10.0.100.250,14.45,49.97,26.0,27.0,2.25
10.0.100.251,68.72,66.08,170.0,85.0,97.38
10.0.100.252,23.52,70.38,939.0,33.0,143.95
10.0.100.253,58.57,51.93,241.0,41.0,54.41
10.0.100.254,89.17,53.74,507.0,22.0,81.23
10.0.100.255,26.16,85.46,288.0,92.0,148.06
10.0.101.1,69.19,25.65,847.0,29.0,118.23
10.0.101.2,95.43,32.57,588.0,33.0,125.74
10.0.101.3,72.72,77.88,479.0,25.0,90.93
10.0.101.4,6.78,61.0,627.0,54.0,115.4
10.0.101.5,55.57,26.52,156.0,12.0,7.69
10.0.101.6,26.7,10.96,829.0,98.0,152.44
10.0.101.7,30.56,22.85,541.0,67.0,97.4
10.0.101.8,99.89,45.3,946.0,53.0,360.55
10.0.101.9,24.94,39.48,773.0,13.0,31.48
10.0.101.10,68.12,95.36,397.0,29.0,94.15
10.0.101.11,88.89,80.1,117.0,8.0,7.54
10.0.101.12,21.06,47.7,265.0,10.0,9.09
10.0.101.13,29.75,39.04,362.0,47.0,58.33
10.0.101.14,15.57,35.04,667.0,13.0,22.41
10.0.101.15,58.16,92.69,517.0,22.0,87.42
10.0.101.16,98.01,9.69,38.0,89.0,18.36
10.0.101.17,7.71,66.02,494.0,37.0,68.3
10.0.101.18,51.51,31.82,505.0,84.0,176.56
10.0.101.19,22.03,80.43,537.0,13.0,34.82
10.0.101.20,79.81,53.37,526.0,54.0,189.94
10.0.101.21,51.27,90.31,34.0,4.0,0.94
10.0.101.22,73.69,83.09,88.0,3.0,2.24
10.0.101.23,88.76,76.45,769.0,56.0,357.88
10.0.101.24,37.16,29.37,218.0,40.0,29.25
10.0.101.25,20.67,69.93,137.0,58.0,36.07
10.0.101.26,72.62,25.65,302.0,18.0,27.07
10.0.101.27,53.2,60.97,663.0,42.0,159.96
10.0.101.28,95.0,87.6,566.0,63.0,323.24
10.0.101.29,91.68,72.28,620.0,94.0,476.81
10.0.101.30,54.88,82.56,540.0,38.0,140.13
10.0.101.31,89.21,22.5,388.0,10.0,21.31
10.0.101.32,12.26,69.07,952.0,77.0,297.58
10.0.101.33,13.09,39.9,138.0,41.0,15.12
10.0.101.34,41.34,59.6,741.0,94.0,351.26
10.0.101.35,58.53,20.86,601.0,95.0,226.86
10.0.101.36,48.65,9.71,443.0,29.0,37.07
10.0.101.37,78.89,91.18,426.0,45.0,162.69
10.0.101.38,76.7,38.28,627.0,88.0,316.43
10.0.101.39,14.44,98.83,819.0,39.0,179.3
10.0.101.40,6.34,58.05,546.0,47.0,82.49
10.0.101.41,76.02,30.73,777.0,2.0,8.48
10.0.101.42,93.32,32.67,367.0,90.0,207.05
10.0.101.43,99.0,17.5,357.0,90.0,186.82
10.0.101.44,40.87,56.23,859.0,100.0,415.95
10.0.101.45,64.19,99.6,541.0,36.0,161.39
10.0.101.46,69.52,82.27,201.0,49.0,74.1
10.0.101.47,93.72,66.11,832.0,47.0,309.36
10.0.101.48,95.44,64.46,229.0,67.0,122.69
10.0.101.49,61.57,58.68,588.0,79.0,279.38
10.0.101.50,87.59,14.41,132.0,18.0,12.41
10.0.101.51,6.12,80.36,331.0,15.0,20.87
10.0.101.52,63.16,18.6,583.0,30.0,72.05
10.0.101.53,90.25,77.19,471.0,68.0,267.07
10.0.101.54,80.9,47.92,795.0,54.0,278.97
10.0.101.55,45.14,16.7,360.0,82.0,91.23
10.0.101.56,9.78,29.12,814.0,3.0,5.27
10.0.101.57,74.16,68.53,311.0,88.0,194.6
10.0.101.58,57.63,42.56,173.0,44.0,38.32
10.0.101.59,55.88,66.92,406.0,88.0,220.17
10.0.101.60,5.37,95.83,408.0,18.0,36.52
10.0.101.61,79.94,58.81,867.0,90.0,540.92
10.0.101.62,93.2,77.39,582.0,12.0,61.95
10.0.101.63,36.11,31.29,686.0,95.0,219.89
10.0.101.64,8.09,26.35,591.0,80.0,81.0
10.0.101.65,31.22,82.9,630.0,84.0,300.9
10.0.101.66,96.43,62.75,561.0,15.0,67.44
10.0.101.67,88.62,33.34,696.0,35.0,147.51
10.0.101.68,26.67,5.19,847.0,57.0,76.29
10.0.101.69,97.33,23.58,392.0,65.0,155.24
10.0.101.70,19.25,71.81,271.0,37.0,45.78
10.0.101.71,8.71,48.53,206.0,39.0,23.02
10.0.101.72,30.2,76.29,263.0,46.0,64.48
10.0.101.73,71.57,19.24,886.0,36.0,145.34
10.0.101.74,29.47,46.48,868.0,1.0,2.79
10.0.101.75,74.47,59.49,194.0,24.0,31.65
10.0.101.76,11.96,99.29,72.0,53.0,21.15
10.0.101.77,90.58,5.07,645.0,98.0,302.53
10.0.101.78,6.72,49.94,529.0,67.0,100.38
10.0.101.79,23.61,51.25,73.0,45.0,12.34
10.0.101.80,75.39,7.94,309.0,96.0,123.98
10.0.101.81,5.71,22.1,281.0,19.0,7.5
10.0.101.82,45.18,51.38,781.0,7.0,24.96
10.0.101.83,68.86,81.36,514.0,52.0,199.74
10.0.101.84,13.68,12.15,253.0,28.0,9.0
10.0.101.85,9.21,89.55,111.0,88.0,48.15
10.0.101.86,41.88,14.47,943.0,96.0,255.91
10.0.101.87,49.04,86.03,250.0,99.0,166.92
10.0.101.88,83.06,30.7,432.0,59.0,146.12
10.0.101.89,67.16,72.72,99.0,69.0,47.76
10.0.101.90,44.66,99.71,268.0,94.0,180.93
10.0.101.91,82.02,53.35,559.0,53.0,200.92
10.0.101.92,79.71,8.89,141.0,78.0,48.35
10.0.101.93,99.14,71.07,51.0,27.0,11.62
10.0.101.94,8.81,13.95,795.0,87.0,78.58
10.0.101.95,88.04,87.39,85.0,83.0,61.97
10.0.101.96,41.82,35.41,535.0,48.0,99.28
10.0.101.97,57.73,70.99,880.0,41.0,233.66
10.0.101.98,87.79,32.04,543.0,97.0,314.91
10.0.101.99,34.71,44.27,700.0,50.0,139.24
10.0.101.100,79.08,7.9,146.0,8.0,4.87
10.0.101.101,7.76,9.71,609.0,79.0,42.2
10.0.101.102,38.44,93.91,791.0,14.0,75.36
10.0.101.103,19.5,59.28,537.0,50.0,106.09
10.0.101.104,99.47,50.85,248.0,55.0,103.29
10.0.101.105,29.95,8.53,686.0,97.0,128.1
10.0.101.106,77.07,91.85,954.0,2.0,15.67
10.0.101.107,12.99,88.89,137.0,74.0,51.48
10.0.101.108,96.06,16.92,184.0,11.0,11.14
10.0.101.109,42.99,25.21,363.0,13.0,15.84
10.0.101.110,39.36,51.62,106.0,74.0,35.43
10.0.101.111,36.69,15.72,481.0,95.0,119.94
10.0.101.112,63.06,66.24,762.0,94.0,462.7
10.0.101.113,94.61,56.43,838.0,11.0,67.89
10.0.101.114,52.12,83.9,576.0,84.0,329.4
10.0.101.115,58.86,18.88,569.0,32.0,71.71
10.0.101.116,29.99,95.52,199.0,69.0,85.85
10.0.101.117,30.2,19.84,696.0,57.0,99.14
10.0.101.118,77.61,35.17,479.0,13.0,35.07
10.0.101.119,80.68,40.03,441.0,13.0,35.32
10.0.101.120,9.24,78.43,963.0,67.0,282.84
10.0.101.121,25.35,9.94,473.0,51.0,42.2
10.0.101.122,48.58,18.13,276.0,29.0,26.5
10.0.101.123,20.81,13.96,694.0,70.0,84.03
10.0.101.124,19.69,6.15,287.0,44.0,16.25
10.0.101.125,70.38,45.8,389.0,47.0,107.05
10.0.101.126,30.08,28.58,951.0,74.0,205.95
10.0.101.127,47.24,97.7,517.0,88.0,328.91
10.0.101.128,37.32,21.81,211.0,20.0,12.7
10.0.101.129,94.8,71.74,263.0,2.0,4.83
10.0.101.130,75.72,45.36,7.0,39.0,1.62
10.0.101.131,35.27,8.15,633.0,97.0,133.85
10.0.101.132,20.38,83.43,432.0,33.0,75.03
10.0.101.133,57.35,67.13,656.0,67.0,274.33
10.0.101.134,82.3,8.53,321.0,20.0,29.29
10.0.101.135,88.71,25.73,438.0,79.0,198.05
10.0.101.136,49.93,99.19,336.0,71.0,178.56
10.0.101.137,63.08,62.49,497.0,3.0,9.18
10.0.101.138,54.45,47.85,469.0,1.0,3.55
10.0.101.139,92.61,31.37,961.0,39.0,232.96
10.0.101.140,89.52,16.31,203.0,69.0,73.48
10.0.101.141,20.89,94.92,283.0,35.0,56.71
10.0.101.142,75.37,29.86,267.0,68.0,95.12
10.0.101.143,82.74,66.07,78.0,45.0,26.11
10.0.101.144,56.03,75.05,337.0,90.0,199.48
10.0.101.145,61.83,69.03,458.0,9.0,27.32
10.0.101.146,57.86,10.82,714.0,21.0,50.88
10.0.101.147,71.83,88.06,312.0,78.0,195.96
10.0.101.148,19.94,59.13,733.0,30.0,88.29
10.0.101.149,66.03,25.5,710.0,44.0,143.41
10.0.101.150,74.97,92.73,226.0,61.0,116.1
10.0.101.151,7.47,36.43,96.0,32.0,6.64
10.0.101.152,65.37,44.15,187.0,30.0,30.38
10.0.101.153,80.35,39.44,112.0,98.0,65.61
10.0.101.154,8.91,58.58,696.0,13.0,30.88
10.0.101.155,68.4,19.9,688.0,72.0,219.58
10.0.101.156,47.52,58.22,2.0,65.0,0.78
10.0.101.157,68.73,86.38,126.0,49.0,47.57
10.0.101.158,9.76,39.41,397.0,51.0,49.58
10.0.101.159,45.64,89.78,164.0,53.0,58.57
10.0.101.160,21.71,53.11,936.0,15.0,53.21
10.0.101.161,54.42,14.03,933.0,29.0,91.01
10.0.101.162,80.56,30.47,423.0,37.0,85.81
10.0.101.163,71.92,13.76,80.0,90.0,30.81
10.0.101.164,14.04,47.73,665.0,3.0,6.02
10.0.101.165,91.31,63.36,918.0,88.0,623.95
10.0.101.166,55.36,78.47,399.0,46.0,122.48
10.0.101.167,46.13,83.5,784.0,64.0,323.64
10.0.101.168,57.2,24.51,512.0,63.0,132.12
10.0.101.169,17.81,92.39,441.0,87.0,211.01
10.0.101.170,14.81,75.14,872.0,2.0,9.71
10.0.101.171,79.76,61.29,933.0,16.0,107.21
10.0.101.172,64.17,80.45,321.0,84.0,195.55
10.0.101.173,59.18,46.61,319.0,49.0,82.22
10.0.101.174,78.54,12.83,482.0,35.0,76.58
10.0.101.175,52.81,30.24,113.0,93.0,43.77
10.0.101.176,73.41,32.23,488.0,30.0,78.6
10.0.101.177,28.93,46.56,358.0,2.0,2.85
10.0.101.178,22.01,25.36,865.0,20.0,41.36
10.0.101.179,71.56,60.51,334.0,39.0,85.7
10.0.101.180,66.84,46.97,606.0,5.0,16.52
10.0.101.181,75.41,48.05,621.0,72.0,277.2
10.0.101.182,74.51,65.74,27.0,87.0,16.63
10.0.101.183,40.58,50.93,806.0,55.0,201.68
10.0.101.184,76.14,48.71,952.0,2.0,12.05
10.0.101.185,95.87,74.55,91.0,7.0,5.36
10.0.101.186,35.27,64.81,786.0,79.0,310.24
10.0.101.187,99.82,24.58,753.0,56.0,260.55
10.0.101.188,40.12,20.0,913.0,85.0,232.02
10.0.101.189,66.22,74.75,667.0,55.0,258.12
10.0.101.190,59.99,61.04,800.0,81.0,391.81
10.0.101.191,49.25,16.3,869.0,32.0,91.75
10.0.101.192,93.08,35.22,835.0,76.0,408.74
10.0.101.193,49.85,84.09,390.0,70.0,181.62
10.0.101.194,27.62,37.0,675.0,19.0,41.87
10.0.101.195,83.91,15.65,925.0,67.0,307.65
10.0.101.196,99.14,60.53,20.0,52.0,8.33
10.0.101.197,42.43,40.52,497.0,99.0,203.44
10.0.101.198,29.22,74.3,181.0,60.0,55.94
10.0.101.199,22.01,87.14,140.0,38.0,28.72
10.0.101.200,25.04,59.56,870.0,17.0,62.47
10.0.101.201,33.73,84.88,917.0,75.0,406.28
10.0.101.202,35.26,8.32,825.0,3.0,5.73
10.0.101.203,94.23,74.0,847.0,75.0,536.84
10.0.101.204,99.94,33.93,717.0,91.0,435.95
10.0.101.205,51.78,74.83,198.0,7.0,8.38
10.0.101.206,47.52,8.36,218.0,89.0,53.98
10.0.101.207,18.18,5.95,259.0,54.0,16.7
10.0.101.208,69.59,70.22,842.0,34.0,201.33
10.0.101.209,12.71,19.31,760.0,26.0,31.62
10.0.101.210,89.51,94.66,390.0,37.0,134.54
10.0.101.211,24.31,95.49,201.0,28.0,33.33
10.0.101.212,25.34,42.91,433.0,75.0,111.15
10.0.101.213,45.63,78.82,397.0,6.0,14.07
10.0.101.214,42.94,56.51,586.0,89.0,259.33
10.0.101.215,60.41,78.62,769.0,13.0,71.89
10.0.101.216,76.56,40.69,664.0,12.0,45.1
10.0.101.217,60.46,61.86,378.0,53.0,122.82
10.0.101.218,19.46,26.12,553.0,7.0,9.36
10.0.101.219,67.74,22.48,903.0,77.0,315.39
10.0.101.220,31.74,72.25,689.0,6.0,20.34
10.0.101.221,66.29,74.8,430.0,9.0,28.27
10.0.101.222,78.95,30.59,599.0,63.0,208.1
10.0.101.223,76.1,94.41,244.0,17.0,36.4
10.0.101.224,96.88,79.84,301.0,37.0,99.41
10.0.101.225,90.34,95.1,848.0,47.0,372.64
10.0.101.226,26.15,93.25,654.0,56.0,220.21
10.0.101.227,35.39,55.08,710.0,3.0,10.55
10.0.101.228,54.61,68.27,740.0,56.0,255.28
10.0.101.229,70.79,79.58,458.0,54.0,187.42
10.0.101.230,20.03,93.03,860.0,55.0,269.26
10.0.101.231,15.42,47.34,580.0,78.0,141.71
10.0.101.232,66.89,47.25,492.0,56.0,156.12
10.0.101.233,59.47,25.37,891.0,27.0,102.43
10.0.101.234,28.04,44.47,117.0,38.0,16.26
10.0.101.235,51.36,34.26,762.0,52.0,169.49
10.0.101.236,85.52,99.64,101.0,80.0,74.38
10.0.101.237,30.84,70.07,823.0,2.0,7.44
10.0.101.238,59.09,80.43,282.0,22.0,43.01
10.0.101.239,31.81,55.09,519.0,54.0,122.16
10.0.101.240,89.19,65.56,674.0,84.0,439.72
10.0.101.241,54.02,88.3,956.0,45.0,307.32
10.0.101.242,65.72,60.29,266.0,22.0,37.53
10.0.101.243,60.58,24.05,546.0,56.0,128.88
10.0.101.244,30.15,35.49,611.0,62.0,124.33
10.0.101.245,9.44,28.35,89.0,91.0,15.26
10.0.101.246,74.71,81.51,235.0,82.0,150.26
10.0.101.247,82.95,19.38,597.0,73.0,222.8
10.0.101.248,60.67,14.16,97.0,21.0,7.55
10.0.101.249,75.7,71.86,276.0,57.0,116.79
10.0.101.250,52.83,26.88,996.0,76.0,302.44
10.0.101.251,58.69,11.31,446.0,77.0,120.13
10.0.101.252,62.95,54.1,589.0,38.0,130.78
10.0.101.253,32.57,62.67,315.0,49.0,73.79
10.0.101.254,46.33,41.15,796.0,67.0,233.77
10.0.101.255,73.44,26.58,81.0,13.0,5.18
10.0.102.1,34.69,97.53,103.0,19.0,13.09
10.0.102.2,21.92,7.37,373.0,70.0,38.42
10.0.102.3,26.78,90.34,889.0,43.0,222.34
10.0.102.4,31.41,49.16,394.0,79.0,125.49
10.0.102.5,40.48,41.08,794.0,100.0,323.55
10.0.102.6,35.57,96.67,666.0,60.0,263.53
10.0.102.7,24.18,70.08,670.0,64.0,200.48
10.0.102.8,39.32,17.57,240.0,87.0,59.46
10.0.102.9,6.34,23.07,501.0,4.0,2.66
10.0.102.10,61.26,49.31,77.0,43.0,18.15
10.0.102.11,48.05,10.39,516.0,8.0,12.06
10.0.102.12,65.56,47.01,199.0,84.0,94.1
10.0.102.13,78.32,27.49,26.0,37.0,5.12
10.0.102.14,31.2,79.94,763.0,50.0,210.87
10.0.102.15,64.36,19.63,243.0,42.0,42.58
10.0.102.16,95.58,89.41,15.0,35.0,4.84
10.0.102.17,85.25,52.45,874.0,43.0,257.98
10.0.102.18,58.33,72.88,208.0,18.0,24.61
10.0.102.19,69.74,54.09,433.0,15.0,39.73
10.0.102.20,18.63,84.15,157.0,23.0,18.61
10.0.102.21,20.77,14.83,456.0,40.0,32.8
10.0.102.22,64.73,16.78,245.0,7.0,7.33
10.0.102.23,13.58,69.43,231.0,33.0,31.65
10.0.102.24,14.5,69.68,792.0,32.0,106.11
10.0.102.25,47.1,22.41,48.0,26.0,4.33
10.0.102.26,56.14,49.85,94.0,17.0,8.59
10.0.102.27,64.31,96.06,187.0,19.0,27.91
10.0.102.28,20.43,28.32,254.0,54.0,33.42
10.0.102.29,95.18,61.77,178.0,73.0,101.75
10.0.102.30,65.26,17.3,845.0,38.0,132.66
10.0.102.31,80.82,82.85,7.0,70.0,4.2
10.0.102.32,73.6,91.26,543.0,58.0,260.81
10.0.102.33,96.44,62.8,681.0,23.0,123.9
10.0.102.34,62.62,7.77,412.0,8.0,12.09
10.0.102.35,29.23,65.39,443.0,1.0,1.64
10.0.102.36,51.79,85.24,588.0,63.0,252.02
10.0.102.37,34.5,23.6,63.0,46.0,8.44
10.0.102.38,93.31,43.77,615.0,39.0,165.31
10.0.102.39,52.7,63.19,260.0,26.0,39.11
10.0.102.40,44.5,21.58,356.0,41.0,47.83
10.0.102.41,44.89,21.85,223.0,76.0,56.63
10.0.102.42,61.41,95.85,61.0,5.0,2.53
10.0.102.43,66.59,49.14,964.0,3.0,17.79
10.0.102.44,12.95,67.22,888.0,87.0,309.98
10.0.102.45,60.65,55.45,204.0,60.0,70.72
10.0.102.46,33.69,62.34,145.0,2.0,1.39
10.0.102.47,10.71,92.43,764.0,21.0,81.37
10.0.102.48,28.12,88.44,396.0,97.0,222.87
10.0.102.49,44.33,60.73,471.0,39.0,97.56
10.0.102.50,66.07,44.95,598.0,100.0,330.31
10.0.102.51,61.62,26.94,740.0,75.0,245.3
10.0.102.52,16.09,74.22,742.0,97.0,325.3
10.0.102.53,25.97,85.1,512.0,22.0,61.66
10.0.102.54,31.54,58.37,770.0,42.0,145.5
10.0.102.55,27.08,72.11,607.0,39.0,118.34
10.0.102.56,30.95,66.74,462.0,41.0,93.15
10.0.102.57,80.91,6.75,456.0,95.0,190.47
10.0.102.58,49.42,21.65,968.0,13.0,45.49
10.0.102.59,77.82,5.74,382.0,45.0,71.32
10.0.102.60,47.35,92.02,114.0,33.0,26.31
10.0.102.61,21.34,28.84,861.0,5.0,9.77
10.0.102.62,62.13,12.01,267.0,11.0,10.6
10.0.102.63,46.88,92.46,33.0,80.0,18.57
10.0.102.64,86.95,77.71,898.0,20.0,149.09
10.0.102.65,56.62,21.47,838.0,23.0,74.95
10.0.102.66,12.87,22.67,246.0,37.0,16.22
10.0.102.67,54.67,29.76,969.0,47.0,190.93
10.0.102.68,41.63,50.25,225.0,80.0,83.07
10.0.102.69,70.89,94.45,611.0,8.0,40.96
10.0.102.70,47.79,89.18,460.0,96.0,301.28
10.0.102.71,11.8,95.58,915.0,76.0,374.44
10.0.102.72,40.73,32.83,953.0,79.0,276.57
10.0.102.73,56.8,23.95,902.0,20.0,72.84
10.0.102.74,50.7,38.09,226.0,34.0,34.05
10.0.102.75,12.78,24.57,51.0,90.0,8.59
10.0.102.76,5.44,12.07,146.0,32.0,4.11
10.0.102.77,69.23,65.52,437.0,3.0,7.39
10.0.102.78,19.32,83.12,215.0,95.0,104.11
10.0.102.79,47.09,33.92,658.0,91.0,243.08
10.0.102.80,88.51,80.89,24.0,47.0,9.69
10.0.102.81,75.67,57.48,75.0,7.0,3.46
10.0.102.82,13.7,81.35,679.0,62.0,200.71
10.0.102.83,38.67,90.68,816.0,4.0,19.86
10.0.102.84,48.15,54.91,707.0,56.0,205.68
10.0.102.85,31.14,56.32,14.0,5.0,0.29
10.0.102.86,76.39,96.89,899.0,60.0,466.97
10.0.102.87,21.02,94.02,605.0,48.0,168.29
10.0.102.88,74.59,26.62,295.0,72.0,107.72
10.0.102.89,94.64,46.51,692.0,52.0,251.83
10.0.102.90,64.35,96.22,305.0,27.0,66.54
10.0.102.91,98.38,13.17,332.0,10.0,19.13
10.0.102.92,50.91,18.8,84.0,45.0,13.22
10.0.102.93,92.67,37.62,280.0,37.0,66.91
10.0.102.94,21.5,70.03,762.0,8.0,26.18
10.0.102.95,5.47,36.91,806.0,93.0,158.06
10.0.102.96,36.88,65.0,843.0,8.0,35.83
10.0.102.97,88.78,96.12,290.0,8.0,20.23
10.0.102.98,29.57,84.64,882.0,60.0,302.28
10.0.102.99,45.08,87.27,89.0,37.0,21.81
10.0.102.100,63.78,88.77,866.0,61.0,404.79
10.0.102.101,78.5,80.69,873.0,26.0,177.68
10.0.102.102,82.48,61.36,237.0,5.0,9.27
10.0.102.103,19.63,17.53,505.0,10.0,9.13
10.0.102.104,77.45,53.89,798.0,39.0,204.42
10.0.102.105,45.63,64.0,926.0,27.0,137.52
10.0.102.106,62.64,94.34,328.0,52.0,134.07
10.0.102.107,22.71,56.38,833.0,73.0,240.23
10.0.102.108,92.74,95.94,920.0,23.0,201.53
10.0.102.109,83.73,18.66,741.0,2.0,5.7
10.0.102.110,98.25,42.21,464.0,54.0,175.3
10.0.102.111,78.97,89.41,771.0,99.0,640.2
10.0.102.112,36.8,95.12,274.0,32.0,57.76
10.0.102.113,96.82,28.22,927.0,8.0,45.7
10.0.102.114,62.87,94.84,351.0,39.0,108.13
10.0.102.115,44.6,44.44,735.0,30.0,99.01
10.0.102.116,56.35,23.56,675.0,37.0,99.08
10.0.102.117,91.68,63.54,417.0,84.0,272.65
10.0.102.118,9.29,74.72,29.0,92.0,11.44
10.0.102.119,5.05,71.48,698.0,38.0,102.64
10.0.102.120,65.27,93.09,847.0,78.0,521.05
10.0.102.121,89.43,93.04,776.0,61.0,431.79
10.0.102.122,61.08,65.13,914.0,54.0,313.68
10.0.102.123,19.2,45.6,474.0,86.0,131.79
10.0.102.124,27.84,7.83,160.0,68.0,19.39
10.0.102.125,85.65,40.19,277.0,97.0,169.53
10.0.102.126,28.75,47.26,282.0,88.0,94.18
10.0.102.127,19.98,58.97,137.0,51.0,27.28
10.0.102.128,63.83,49.56,40.0,28.0,6.31
10.0.102.129,27.31,30.32,239.0,15.0,10.25
10.0.102.130,61.42,54.83,270.0,34.0,53.46
10.0.102.131,80.9,81.95,845.0,90.0,622.53
10.0.102.132,30.08,7.22,628.0,95.0,110.8
10.0.102.133,61.6,56.46,247.0,69.0,100.56
10.0.102.134,39.53,57.96,301.0,29.0,43.25
10.0.102.135,10.21,78.98,355.0,77.0,121.39
10.0.102.136,69.27,35.46,398.0,49.0,101.89
10.0.102.137,45.71,24.7,703.0,32.0,78.45
10.0.102.138,17.02,21.86,408.0,93.0,73.87
10.0.102.139,25.8,27.1,737.0,75.0,145.32
10.0.102.140,59.63,55.4,216.0,37.0,46.49
10.0.102.141,83.79,39.31,290.0,15.0,26.32
10.0.102.142,24.02,76.59,131.0,13.0,8.27
10.0.102.143,58.95,40.73,362.0,13.0,24.24
10.0.102.144,61.57,8.08,254.0,67.0,58.96
10.0.102.145,29.08,6.48,692.0,91.0,111.54
10.0.102.146,10.59,18.08,563.0,21.0,16.72
10.0.102.147,30.07,77.14,811.0,90.0,391.15
10.0.102.148,11.93,95.49,827.0,32.0,140.51
10.0.102.149,86.0,26.44,441.0,90.0,223.83
10.0.102.150,78.3,46.85,526.0,85.0,278.45
10.0.102.151,22.42,15.87,604.0,87.0,100.62
10.0.102.152,96.8,75.57,653.0,16.0,92.52
10.0.102.153,12.37,5.66,333.0,83.0,24.9
10.0.102.154,21.52,25.7,692.0,1.0,1.86
10.0.102.155,72.64,56.65,609.0,26.0,101.4
10.0.102.156,59.78,93.09,882.0,19.0,128.05
